Kategori,Sıra,Ürün Adı,Fiyat,Link
Bahçe,#1,"Einhell 18V 4,0 Ah PXC Starter Kit (Başlangıç Seti)","1.483,00 TL",https://www.amazon.com.tr/Einhell-18V-Starter-Ba%C5%9Flang%C4%B1%C3%A7-Seti/dp/B01M3SPEZF/ref=zg_bs_g_garden_d_sccl_1/261-4426946-1087664?psc=1
Bahçe,#2,"Bluefox Dijital Oda Termometresi ve Nem Ölçer – LCD Ekranlı, Kompakt Higrometre, İç Mekan Sıcaklık ve Nem Takibi, Mıknatıslı & Ayaklı & Duvar Tipi Kullanım – Mutfak, Bebek Odası, Ofis, Sera için Uygun","199,00 TL",https://www.amazon.com.tr/Bluefox-Dijital-Oda-Termometresi-%C3%96l%C3%A7er/dp/B0BWSM4V67/ref=zg_bs_g_garden_d_sccl_2/261-4426946-1087664?psc=1
Bahçe,#3,"Einhell 18V 2,5 Ah PXC Starter Kit (Başlangıç Seti)","949,05 TL",https://www.amazon.com.tr/Einhell-18V-Starter-Ba%C5%9Flang%C4%B1%C3%A7-Seti/dp/B082TD4R4L/ref=zg_bs_g_garden_d_sccl_3/261-4426946-1087664?psc=1
Bahçe,#4,Xiaomi Mijia Miaomiao Dijital Termometre LCD Ekranlı Isı Nem Ölçer,"494,00 TL",https://www.amazon.com.tr/Xiaomi-Miaomiao-Dijital-Termometre-Ekranl%C4%B1/dp/B083Y1D8WB/ref=zg_bs_g_garden_d_sccl_4/261-4426946-1087664?psc=1
Bahçe,#5,"Bosch 18 V 4, 0 Ah Akü","3.115,80 TL",https://www.amazon.com.tr/Bosch-Home-Garden-1600A011T8-Ak%C3%BC/dp/B07669C4Y4/ref=zg_bs_g_garden_d_sccl_5/261-4426946-1087664?psc=1
Bahçe,#6,"Bahçe mobilyası örtüsü, bahçe mobilyası brandası, su geçirmez, rüzgar geçirmez, UV dayanıklı, bahçe mobilyası örtüsü, Bahçe Mobilya Brandası Masa Sandalye Koruma Örtüsü (GRI, (250 * 210 * 80))","759,05 TL",https://www.amazon.com.tr/mobilyas%C4%B1-brandas%C4%B1-ge%C3%A7irmez-dayan%C4%B1kl%C4%B1-Brandas%C4%B1/dp/B0F9FX44Y4/ref=zg_bs_g_garden_d_sccl_6/261-4426946-1087664?psc=1
Bahçe,#7,MF Botanik Vera Iç Mekan Bitki Toprağı 10 Litre Iç Mekan Çiçek Toprağı Toprak Harcı,"149,00 TL",https://www.amazon.com.tr/Mekan-Bitki-Topra%C4%9F%C4%B1-Litre-Toprak/dp/B09FFHDZW3/ref=zg_bs_g_garden_d_sccl_7/261-4426946-1087664?psc=1
Bahçe,#8,Busstier Fiber Saplı Balta Ergonomik Kaymaz Saplı Çelik Başlı Profesyonel Odun Kesme Balta Kamp ve Bahçe Kullanımı İçin Dayanıklı Darbe Emici Saplı Balta,"279,00 TL",https://www.amazon.com.tr/Busstier-Ergonomik-Profesyonel-Kullan%C4%B1m%C4%B1-Dayan%C4%B1kl%C4%B1/dp/B0FNN9V9VH/ref=zg_bs_g_garden_d_sccl_8/261-4426946-1087664?psc=1
Bahçe,#9,"ThermoPro TP53 Dokunmatik ve Işıklı Ekranlı Dijital Termometre, Yüksek Hassasiyetli İç Mekan Nem Ölçer, Hava Konfor Göstergeli Higrometre, Tüm Zamanlar/24 Saat Kayıt, Manyetik Standlı","589,50 TL",https://www.amazon.com.tr/ThermoPro-TP53-Ayd%C4%B1nlatmal%C4%B1-Profesyonel-Termo-Higrometre/dp/B079JXY1RC/ref=zg_bs_g_garden_d_sccl_9/261-4426946-1087664?psc=1
Bahçe,#10,"Einhell 18V 5,2 Ah Power-X-Change Plus, Akü","2.699,00 TL",https://www.amazon.com.tr/Einhell-18V-P-X-C-Plus-1260/dp/B01NCZCKHX/ref=zg_bs_g_garden_d_sccl_10/261-4426946-1087664?psc=1
